pest_key,name,latin_name,also_called,kind,affects_categories,severity,description,signs,consequence,look_alikes,monitoring,prevention,organic_controls,chemical_controls,beneficials,pollinator_risk,treatments
early_blight,Early blight,Alternaria linariae; Alternaria solani,Alternaria leaf spot,disease,Tomato;Potato;Eggplant,serious,A fungal leaf spot that overwinters on crop debris and in the soil and splashes up onto the lowest leaves in the first warm wet spell. It works steadily upward through the season.,"Brown spots on the lowest leaves with concentric rings inside them, like a target, and a yellow halo around each. Leaves yellow and drop from the bottom up. Dark sunken lesions with rings on the stem end of fruit.","Steady defoliation from the base up through the season, which cuts the crop and leaves the fruit exposed to sunscald. Rarely kills the plant outright but reliably shortens its useful life by weeks.",Septoria leaf spot makes smaller round spots with pale centres and black dots and no target rings. Late blight lesions are greasy and grey-green and spread far faster.,"Check the lowest leaves weekly from the moment fruit sets. The first target-ringed spot is the moment to act, not the moment to wait.","Mulch heavily under tomatoes so rain cannot splash soil onto leaves -- this is the single most effective measure. Stake or cage for airflow. Water at the base and in the morning, never over the leaves. Rotate away from tomato and potato ground for two or three years. Remove the lowest leaves up to the first flower cluster. Choose varieties listed as tolerant.",Remove and bag affected lower leaves as they appear; do not compost them. Copper and Bacillus subtilis fungicides give useful protection when started before the disease is established and repeated. Nothing cures an infected leaf.,"Copper-based fungicides and chlorothalonil are the garden actives, and both are protectants -- they stop new infection and do nothing for the spots already there, so they must go on early and be repeated after rain. Copper accumulates in soil with repeated use.",Bacillus subtilis biofungicides.,0,"Mulch, airflow, water at the base, strip the lowest leaves, rotate; copper or Bacillus subtilis early and repeated."
late_blight,Late blight,Phytophthora infestans,,disease,Tomato;Potato,fatal,"The disease of the Irish potato famine, and still the most destructive thing that can happen to a tomato. It is a water mould, not a true fungus, it needs cool wet weather, and it can destroy a planting in under a week.","Greasy grey-green blotches on leaves that turn brown-black, often starting at the leaf tip or edge. White fuzzy growth on the underside in humid mornings. Firm brown greasy patches on green fruit. A distinct smell of rot.","Total loss of tomatoes and potatoes, fast. It also spreads on the wind to every garden downwind, which makes destroying an infected plant a neighbourly act rather than only a personal one.","Early blight has concentric rings and moves slowly. Late blight is greasy, spreads in days, and shows white sporulation on leaf undersides in the morning.","In cool wet weather check daily. Late blight forecasts are published regionally; if it is reported nearby, treat that as a warning to act.","Buy certified disease-free seed potatoes and healthy transplants. Never leave cull potatoes or volunteers over winter, which is where it survives. Airflow, staking and morning watering at the base. Resistant varieties exist and are the best defence in areas where it recurs.","Pull and bag infected plants immediately -- do not compost them, and do not leave them on the ground. Copper fungicides applied preventively during cool wet spells slow it. Once it is established in a planting, removal is the only responsible action.",Copper and chlorothalonil are the garden protectants and must be on the plant before infection. There is no home-garden curative for late blight.,None of practical use.,0,Resistant varieties and clean seed; copper preventively in cool wet weather; pull and bag infected plants at once.
septoria_leaf_spot,Septoria leaf spot,Septoria lycopersici,,disease,Tomato,serious,"A fungal leaf spot of tomatoes that overwinters on debris and on solanaceous weeds and comes up onto the lower leaves with splashing rain. It is often mistaken for early blight and treated the same way, which is fortunate because the treatment is the same.","Many small round spots, three or four millimetres, with grey or tan centres and dark borders, on the lower leaves first. Tiny black dots visible in the centres with a hand lens. Leaves yellow and drop rapidly.","Rapid defoliation from the bottom up, which cuts yield and sunscalds the fruit. The fruit itself is not spotted, which is the difference from early blight.","Early blight spots are larger, fewer and have concentric rings. Bacterial spot lesions are darker and more angular and reach the fruit.","Inspect the lowest leaves weekly from first fruit set, especially after rain.","Mulch to stop soil splash. Space and stake for airflow. Water at the base in the morning. Remove the lowest leaves. Rotate. Clear all tomato debris and nightshade weeds at the end of the season, since that is where it overwinters.","Remove and bag spotted leaves early and often. Copper or Bacillus subtilis as a protectant, started before the disease has climbed the plant.","Copper and chlorothalonil, applied as protectants and repeated after rain. Neither cures an existing spot.",Bacillus subtilis biofungicides.,0,"Mulch, airflow and base watering; strip and bag spotted lower leaves; copper or Bacillus subtilis early."
powdery_mildew,Powdery mildew,Podosphaera xanthii; Erysiphe cichoracearum,,disease,Squash (summer);Squash (winter);Pumpkin;Cucumber;Watermelon;Melon;Bean;Pea;Tomato;Lettuce;Okra,manageable,"A fungus that grows on the leaf surface rather than inside it, which is why it can be treated when almost nothing else can. Unusually among fungal diseases it does not need leaf wetness -- warm days, cool nights and humidity are enough.","Round white powdery patches on the upper leaf surface first, spreading until whole leaves are coated, then yellow and brown. Cucurbits are the usual victims and are hit late in the season.","Loses the plant its leaves in the last month of cropping, which reduces the final picking and, on winter squash, the sugar and the storage life of what is already set.","Downy mildew makes angular yellow patches bounded by leaf veins, with grey fuzz on the UNDERSIDE. Powdery mildew is white, powdery and on top. Some squash varieties have natural silver leaf mottling that is easily mistaken for it -- rub it: mildew rubs off, mottling does not.","From midsummer check the older, shadier leaves in the middle of the plant weekly. The first patch is usually low down and out of sight.","Choose resistant varieties, which for cucurbits are widely available and are much the best answer. Full sun and wide spacing. Avoid heavy nitrogen late. Remove the oldest leaves to open the canopy.","Because it lives on the surface, it can genuinely be treated: potassium bicarbonate, horticultural oils, and Bacillus subtilis all work if started at the first patch. Milk diluted in water has repeatedly shown real effect in trials. Remove and bag the worst leaves.","Sulfur is the classic and effective active, and must not be applied above about 30C or within two weeks of an oil spray -- both burn the foliage. Potassium bicarbonate, neem oil and myclobutanil are also registered for gardens.","Ampelomyces quisqualis, a fungus that parasitises mildew, occurs naturally and is sold as a biofungicide.",0,"Resistant varieties and airflow; potassium bicarbonate, oil or sulfur at the first patch -- but never sulfur in heat or near an oil spray."
downy_mildew,Downy mildew,Pseudoperonospora cubensis; Peronospora spp.,,disease,Cucumber;Squash (summer);Squash (winter);Melon;Watermelon;Basil;Spinach;Lettuce;Onion;Cabbage;Broccoli,fatal,"A water mould, not a true fungus, that needs cool nights and leaf wetness. Cucurbit downy mildew does not overwinter in most of the country and blows north each summer, which is why regional forecasts can tell you the week it will arrive.","Angular yellow patches on the upper leaf surface, sharply bounded by the veins so they look square-edged. Grey or purple fuzz on the underside in humid mornings. Whole leaves brown and die while the stems stay green.","On cucumbers and basil it kills the planting outright, often in ten days. Basil downy mildew makes the crop unusable and is now the main reason basil fails in a wet summer.",Powdery mildew is white and on the upper surface and rubs off. Angular leaf spot makes similar vein-bounded patches but they go papery and tear out.,"Follow the regional cucurbit downy mildew forecast where one is published, and check leaf undersides at first light in humid weather. On basil, check the undersides of the lower leaves before the yellowing shows.","Resistant varieties, which now exist for cucumber and for basil and are the only durable answer. Wide spacing and full sun. Water at the base in the morning. Plant early to crop before the annual arrival.","Copper fungicides applied preventively, starting when the disease is reported in the region rather than when it is seen. Remove and bag affected leaves. On basil, harvest hard and early and accept a shorter season.",Copper and chlorothalonil are the garden protectants and must be on before infection; there is no curative for a home garden. Resistance to some actives is widespread in the cucurbit species.,None of practical use.,0,"Resistant varieties, spacing and morning base watering; copper preventively when it is reported in your area; bag affected leaves."
bacterial_wilt_cucurbit,Bacterial wilt,Erwinia tracheiphila,,disease,Cucumber;Melon;Squash (summer);Squash (winter);Pumpkin,fatal,A bacterium carried in the gut of striped and spotted cucumber beetles and introduced when they feed. It multiplies in the plants water-conducting tissue and blocks it. Cucumbers and muskmelons are highly susceptible; watermelon is largely immune.,"One runner wilts in the heat and recovers overnight, then does not. The whole vine follows within days while the leaves are still green. The test: cut a wilted stem, press the cut faces together and pull them slowly apart -- a fine white thread stretching between them is the bacterium.","The plant dies. There is no treatment at any stage, and the only control is not to let the beetles feed in the first place.",Squash vine borer leaves frass and a hole at the stem base. Fusarium wilt yellows one side of the plant first and stains the stem interior brown. Drought wilts at midday and recovers every evening.,"There is nothing to monitor for the disease itself -- monitor the beetles, from emergence, daily, on seedlings.",Everything is beetle control. Row cover from sowing until the first female flowers. Grow watermelon and Cucurbita moschata types where wilt is a recurring problem. Kaolin clay on young plants. Remove wilting plants at once so they are not a reservoir the beetles feed on.,"Row cover, hand-picking beetles, kaolin clay, and prompt removal of infected plants. Nothing acts on the bacterium.","No chemical treats the disease. Insecticides are aimed at the beetles and are covered under that entry, with the same warning: cucurbits depend on bees, so evenings only.",Anything that eats cucumber beetles.,0,"Prevent the beetles: row cover to first flower, kaolin clay, hand-picking. Pull wilting plants the day you see them."
fusarium_wilt,Fusarium wilt,Fusarium oxysporum,,disease,Tomato;Melon;Watermelon;Cucumber;Pea;Bean;Cabbage;Spinach;Basil,fatal,"A soil fungus that enters through the roots and plugs the water-conducting tissue. It is host-specific -- the strain that kills tomatoes leaves melons alone -- and it survives in soil for many years, which makes it a decision about what to plant rather than something to treat.","Yellowing and wilting that starts on one side of the plant or one branch, often with one side of a leaf yellow and the other green. Lower leaves first. Cut the stem lengthways near the base: a chocolate-brown stain in the ring just under the skin is the diagnosis.","The plant declines and dies, usually just as it begins to crop, and the ground stays infested for years afterwards.",Verticillium wilt looks almost identical and is distinguished mostly by cooler weather and a wider host range. Bacterial wilt of cucurbits gives the white thread test. Waterlogging wilts without staining the stem.,"Nothing useful before symptoms. Note where it happened, because that is the information that matters next year.","Resistant varieties are the whole answer and are widely available -- the F, FF or FFF on a tomato variety description is exactly this. Rotate for at least four years. Raise soil pH slightly and avoid excess nitrogen. Grafted tomatoes on resistant rootstock work where the ground is known to be infested. Solarising a bed under clear plastic through a hot summer reduces it.",Remove and bag affected plants with as much root as will come. Grow in containers or a raised bed with clean soil where a bed is known infested. Soil solarisation.,"No fungicide available to a home garden controls Fusarium wilt. Every recommendation here is variety choice, rotation and soil.",Suppressive composts and Trichoderma biologicals reduce severity; they do not cure it.,0,"Resistant varieties, long rotation, clean containers; there is no cure and the soil stays infested."
verticillium_wilt,Verticillium wilt,Verticillium dahliae,,disease,Tomato;Pepper;Eggplant;Potato;Strawberry;Okra;Watermelon,fatal,"A soil fungus much like Fusarium in what it does, but with a very wide host range and a preference for cooler soils. It persists in soil for a decade or more as resting structures.","Yellowing in a V-shaped wedge from the leaf edge inward, lower leaves first. Wilting in the heat of the day, recovering at night, until it does not. A tan discoloration in the stem ring near the base, usually paler than the Fusarium stain.","Progressive decline and death, and ground that is unsuitable for the whole susceptible group for years.","Fusarium wilt, closely. The practical difference is that Verticillium hits a much broader range of plants and prefers cooler weather.",Nothing before symptoms; record where it occurred.,"Resistant varieties -- the V in a tomato variety description. A four-year rotation with grasses and sweet corn, which are not hosts. Avoid following strawberries, potatoes or brassica-free weedy ground with a susceptible crop. Solarisation helps.",Remove and bag affected plants. Grow susceptible crops in containers of clean mix on infested ground. Solarise the bed through a hot summer.,No home-garden fungicide controls it.,Broccoli residue incorporated into soil measurably suppresses Verticillium and is one of the few cultural tricks with real evidence behind it.,0,Resistant varieties and a long rotation through corn and grasses; containers on infested ground; no cure.
southern_blight,Southern blight,Athelia rolfsii; Sclerotium rolfsii,White mould of the stem base,disease,Tomato;Pepper;Bean;Southern pea;Okra;Watermelon;Carrot;Onion;Peanut,fatal,"A hot-weather soil fungus of the southern states that attacks the stem right at the soil line. It produces coarse white mycelium and small round tan sclerotia that look exactly like mustard seed, which is the diagnostic sign.","Sudden wilt of an otherwise healthy plant in hot humid weather. A white fan of coarse fungal threads on the stem at soil level and on the soil around it, carrying tan or brown spheres the size of mustard seed.",The plant dies within days and the sclerotia stay in the soil for years. In a hot wet summer it can take several plants in a row.,"White mould (Sclerotinia) makes larger, irregular black sclerotia inside the stem, and prefers cool weather. Southern blight is a heat disease and the sclerotia are outside, small, round and uniform.",Look at the stem base of wilting plants in hot humid weather rather than assuming drought.,Deep burial of crop residue -- the fungus is aerobic and lives in the top few centimetres. Rotate to corn and small grains. Keep mulch and soil pulled back from the stem base. Solarisation reduces sclerotia in the top layer.,Remove the plant with a generous margin of soil and bag it. A collar of aluminium foil around the stem base protects a valued plant. Deep cultivation to bury the residue and the sclerotia.,"No effective home-garden fungicide. This is a residue, rotation and soil-management problem.",Trichoderma biologicals give partial suppression.,0,"Bury residue deeply, rotate to corn, keep mulch off the stem base; remove infected plants with their soil."
white_mold,White mould,Sclerotinia sclerotiorum,Sclerotinia; timber rot,disease,Bean;Pea;Lettuce;Cabbage;Tomato;Carrot;Potato;Cucumber,serious,"A cool-weather fungus that infects through dying flowers and wounds and rots stems from the inside. Hard black bodies the size and shape of rat droppings form inside the stem and fall into the soil, where they last for years.",A water-soaked patch on a stem that goes white and cottony. Sudden collapse of a branch or a whole plant above that point. Split the stem and there are hard black lumps inside.,"Loss of the plant or a major branch, and long-lived contamination of the bed. Beans and lettuce are the usual victims.",Southern blight is a heat disease with small tan sclerotia on the OUTSIDE of the stem at soil level. Grey mould is fuzzy and grey-brown rather than white and cottony.,"Check bean and lettuce stems in cool damp weather, especially where the canopy is dense and slow to dry.","Wide spacing and good airflow, which matters more here than almost anywhere. Avoid overhead watering. Rotate to corn and small grains, which are not hosts. Do not compost infected material. Avoid dense plantings on ground that has had it before.","Remove and bag infected plants including the sclerotia, cutting well below the lesion. Coniothyrium minitans, a fungus that parasitises the sclerotia, is sold as a soil biological and genuinely reduces the population over seasons.","No reliable home-garden fungicide once it is established. Everything effective is spacing, airflow and rotation.",Coniothyrium minitans.,0,"Space widely, water at the base, rotate to corn; cut out and bag infected stems with the black bodies inside."
gray_mold,Grey mould,Botrytis cinerea,Botrytis,disease,Tomato;Strawberry;Lettuce;Bean;Pepper;Basil;Onion,manageable,"A fungus that lives on dead and dying tissue and moves from there into healthy tissue. Cool, damp, still air is what it needs, which makes it a greenhouse and a wet-spring disease.","Fuzzy grey-brown mould on dead flowers, fruit and leaf tips. Pale ghost rings on green tomatoes where a spore landed and did not get in. Fruit rotting where it touches soil or another fruit.","Rotted fruit and lost flowers rather than lost plants, though a stem lesion can kill a branch. Mostly a wet-weather and under-cover problem.",White mould is white and cottony with black lumps inside the stem. Grey mould is dusty grey-brown and always starts on something already dead or dying.,"Look at spent flowers and any fruit touching the ground, weekly in damp weather.","Pick off dead flowers and leaves, which is what it feeds on before it feeds on the crop. Airflow, spacing, and no overhead watering. Under cover, ventilate rather than heat. Keep fruit off the soil with mulch or a support.",Sanitation is most of it: remove dead tissue and rotting fruit promptly and bag them. Bacillus subtilis biofungicides help preventively. Increase ventilation before reaching for anything.,"Bacillus subtilis and captan are registered for garden use. Botrytis develops fungicide resistance readily, so rotation of actives matters and sanitation matters more.",Bacillus subtilis and Trichoderma biofungicides.,0,"Remove dead flowers, leaves and rotting fruit; ventilate and space; Bacillus subtilis preventively in damp weather."
anthracnose,Anthracnose,Colletotrichum spp.,,disease,Tomato;Pepper;Bean;Cucumber;Melon;Watermelon;Squash (summer);Strawberry,serious,A fungal fruit and leaf rot that overwinters on debris and in seed and spreads by rain splash in warm wet weather. It infects green fruit silently and only shows as the fruit ripens.,"Round sunken spots on ripe fruit, darkening in the middle with concentric rings of tiny dark dots, often with a pink or salmon slime in the centre in humid weather. On beans, dark sunken lesions on pods with pink centres.",Ripe tomatoes and peppers rot on the plant or in the bowl a day after picking. On beans it can also kill seedlings from infected seed.,"Blossom end rot is on the bottom of the fruit only, dry, leathery and never has rings or spore masses.",Watch ripening fruit in warm wet spells. Picking slightly early and ripening indoors avoids much of it.,"Mulch to stop soil splash. Stake and space for airflow. Pick fruit promptly and never leave over-ripe fruit on the plant. Rotate for two or three years. Use clean, treated bean seed and never save seed from an affected crop. Do not work among wet bean plants -- that is how it spreads down a row.",Remove and bag affected fruit at once. Copper fungicides preventively in warm wet weather. Pick at first blush and finish ripening indoors.,"Copper and chlorothalonil as protectants, started before symptoms and repeated after rain.",None of practical use.,0,"Mulch, airflow and prompt picking; copper preventively in warm wet weather; bag affected fruit."
bacterial_spot,Bacterial spot and speck,Xanthomonas spp.; Pseudomonas syringae pv. tomato,,disease,Tomato;Pepper,serious,"Bacterial diseases spread by rain splash, overhead water and handling wet plants, and carried on seed and transplants. Spot likes heat, speck likes cool weather, and the management is the same for both.","Small dark angular leaf spots, often with a yellow halo, that dry and tear out leaving ragged holes. Raised scabby specks on the fruit that make it unmarketable. Heavy leaf drop.",Defoliation and fruit that is edible but scabbed and unsellable. Once it is established in warm wet weather there is no way to stop it in a garden.,"Septoria and early blight are fungal, round rather than angular, and do not scab the fruit. Bacterial spots are angular because they are bounded by the small veins.","Look for angular spots after a run of wet weather, and check bought transplants before planting -- infected transplants are the commonest way it arrives.",Buy clean transplants and look at them. Use certified or hot-water-treated seed. Do not work among wet plants. Water at the base. Rotate for two years and remove all debris. Copper preventively where it recurs.,"Remove badly affected leaves early. Copper, with or without a Bacillus subtilis product, applied preventively. Sanitation between plants when pruning -- a bacterial disease travels on hands and secateurs.","Copper is the only garden active with real effect, it is protectant only, and copper-tolerant strains are now common. There is no cure.",None of practical use.,0,Clean seed and clean transplants; never handle wet plants; base watering; copper preventively.
angular_leaf_spot,Angular leaf spot,Pseudomonas syringae pv. lachrymans,,disease,Cucumber;Squash (summer);Squash (winter);Melon;Watermelon;Pumpkin,manageable,"A bacterial disease of cucurbits spread by splashing water, by cucumber beetles, and by hands and tools on wet foliage. It is seed-borne, which is why it appears in a garden that never had it.","Water-soaked angular spots bounded by the leaf veins, drying tan and then falling out to leave ragged holes. Milky bacterial ooze on the underside in humid mornings, drying to a white crust. Small round water-soaked spots on the fruit.",Leaf loss and holed leaves; fruit spots let in the soft rots that follow. Not usually fatal but it shortens the picking.,Downy mildew is also vein-bounded but is yellow rather than water-soaked and has grey fuzz beneath. Angular leaf spot tears out and leaves holes; downy mildew does not.,"Look at leaf undersides in the morning after wet weather for the milky ooze, which is diagnostic.","Buy clean seed and do not save seed from an affected crop. Never work among wet vines. Water at the base. Rotate for two years and remove debris. Control cucumber beetles, which carry it.","Copper preventively. Sanitation, staying out of the wet crop, and removing the worst leaves.","Copper, as a protectant. Nothing cures a bacterial leaf spot.",None of practical use.,0,"Clean seed, base watering, stay out of wet vines, rotate; copper preventively."
black_rot_brassica,Black rot of brassicas,Xanthomonas campestris pv. campestris,,disease,Cabbage;Broccoli;Cauliflower;Brussels sprouts;Kale;Turnip;Radish;Asian greens;Chinese cabbage,fatal,"The most serious bacterial disease of brassicas worldwide. It enters through the pores at the leaf margin or through insect and hail wounds, moves into the veins, and works down to the stem.","Yellow V-shaped wedges at the leaf margins, pointing inward, with blackened veins running through them. Cut the stem across and the vascular ring is black. Whole plants yellow, stunt and collapse.",Plants are lost and the seed and soil stay contaminated. In warm wet weather a whole brassica bed can go.,Fusarium yellows also yellows brassicas but does not blacken the veins or make a V at the margin. Nitrogen deficiency yellows the oldest leaves evenly and uniformly.,Look at leaf margins weekly in warm wet weather. Inspect bought transplants -- this arrives on transplants and seed far more often than from the soil.,"Hot-water-treated or certified seed. Buy clean transplants and reject any with yellow margins. Three-year rotation away from all brassicas, including weedy mustards. Do not work in the crop when wet. Wide spacing and base watering.",Remove and bag affected plants completely. Rotation and clean seed. Copper gives some protection early and cannot stop an established infection.,Copper as a protectant only. There is no curative treatment.,None of practical use.,0,Clean seed and transplants; three-year rotation; stay out of the wet crop; remove and bag affected plants.
clubroot,Clubroot,Plasmodiophora brassicae,,disease,Cabbage;Broccoli;Cauliflower;Brussels sprouts;Kale;Radish;Turnip;Asian greens;Chinese cabbage,fatal,"A soil organism that infects brassica roots and makes them swell into distorted clubs that cannot take up water. Resting spores survive in soil for up to twenty years, and acid soils make it far worse.","Wilting in the sun that recovers overnight, then stunting and yellowing. Lift the plant: the roots are swollen, knobbly and club-shaped rather than fibrous, and later rot into a foul mess.",The crop is lost and the ground is unusable for brassicas for many years. This is the one soil disease worth going to real lengths to keep out.,Root-knot nematode makes small beaded galls along fine roots; clubroot makes large distorted clubs on the main roots. Root maggots eat the roots away rather than swelling them.,Lift and look at the roots of any stunted brassica rather than guessing. Knowing you have it changes the plan for a decade.,"Never bring in soil, transplants or tools from an affected garden -- that is how it arrives. Lime to raise soil pH to about 7.2, which strongly suppresses it. Long rotation, seven years or more, and control weedy mustards, which are hosts. Improve drainage. Resistant varieties exist.","Liming, drainage and rotation. Grow brassicas in containers of clean mix where a bed is known infested. Remove and bag affected plants with their roots -- never compost them.","No home-garden chemical controls it. Lime is the effective input and it is a soil amendment, not a fungicide.",None of practical use.,0,Keep it out; lime to pH 7.2; long rotation and resistant varieties; containers on infested ground.
root_knot_nematode,Root-knot nematodes,Meloidogyne spp.,,disease,Tomato;Pepper;Okra;Cucumber;Squash (summer);Squash (winter);Melon;Carrot;Lettuce;Bean;Eggplant,serious,"Microscopic roundworms that enter fine roots and cause the plant to grow galls around them. Worst in sandy soils and in long warm seasons, and they multiply on almost every summer vegetable.","Plants stunted and wilting in the afternoon heat despite adequate water, yellowing and unresponsive to feeding, often in patches rather than across the whole bed. Lift a plant: the roots carry beaded swellings that cannot be rubbed off.",Reduced yield across the bed and progressively worse each year the same crops are grown. Carrots become forked and unusable.,"The nitrogen-fixing nodules on bean and pea roots are also lumps -- but they rub off easily and are round and attached to the outside, while galls are part of the root itself. Clubroot makes large clubs on brassicas, which nematodes do not attack.",Lift and examine roots at the end of every season in a bed that underperformed. That is the only reliable diagnosis and it is free.,"Resistant varieties -- the N in a tomato variety code. Rotate to non-hosts: sweet corn, small grains, and resistant cover crops. Solarise the bed under clear plastic through the hottest six weeks of summer. Add organic matter, which supports the fungi and predators that keep numbers down. Grow susceptible crops in containers on badly infested ground.","Solarisation, rotation, resistant varieties, French marigold cover crops grown as a solid stand for a full season -- interplanting a few marigolds does nothing, and this is a very common misconception. Large additions of compost.","Nematicides are not available to home gardens, and would not be a good idea if they were. Everything effective here is rotation, soil and variety choice.","Nematode-trapping fungi and predatory mites, all favoured by high organic matter.",0,"Resistant varieties, rotation to corn, solarisation, plenty of compost; a solid marigold cover crop, not a few plants dotted about."
mosaic_virus,Mosaic viruses,Cucumber mosaic virus; Tobacco mosaic virus,CMV; TMV; ToMV,disease,Tomato;Pepper;Cucumber;Squash (summer);Squash (winter);Melon;Bean;Spinach;Lettuce;Basil,serious,"A group of viruses spread mostly by aphids, and in the tobacco mosaic group also by hands, tools and tobacco products. Once a plant is infected it stays infected, and there is no treatment at any price.","Mottled light and dark green patchwork on the leaves. Puckered, narrow, strap-like or fern-like new growth. Stunting. Mottled or bumpy fruit that fails to size.","A permanently reduced or worthless plant, and a reservoir for the aphids to move it on to the neighbours. Removal is the only useful response.","Herbicide drift also distorts new growth, usually across every plant in a direction rather than plant by plant. Nutrient deficiencies mottle without distorting.","Look at the newest growth. A mottled, distorted growing point on one plant while its neighbours are normal is the pattern.","Control aphids early. Buy resistant varieties. Wash hands and disinfect tools between plants, and do not handle tomatoes after handling tobacco, which genuinely transmits TMV. Control perennial weeds that host the viruses. Reflective mulch deters incoming aphids.","Pull and bag infected plants as soon as you are confident, before the aphids move it on. Aphid control on the rest. Nothing treats an infected plant.",None. No chemical affects a plant virus.,Everything that eats aphids.,0,"Resistant varieties, aphid control and clean hands; pull and bag infected plants -- there is no cure."
curly_top,Curly top virus,Beet curly top virus,,disease,Tomato;Pepper;Bean;Beet;Spinach;Melon;Squash (summer);Cucumber,fatal,"A virus carried by the beet leafhopper, which blows in from dry rangeland in early summer. The leafhopper infects a plant in a single brief feed and moves on, so the damage is scattered rather than spreading plant to plant.","A plant that stops dead: leaves thickened, stiff, crinkled and rolled upward, yellowing with purple veins. Fruit ripens prematurely and small. Individual plants scattered through an otherwise healthy bed.","The affected plant is finished and will not produce. Neighbouring plants are usually fine, because the vector does not stay.","Herbicide damage distorts growth across a whole area. Mosaic viruses mottle rather than stiffen and thicken. Curly top leaves feel leathery and brittle, which is quite distinctive to the hand.","Nothing useful -- by the time it shows, the leafhopper is long gone. Note how many plants are affected and plan shade for next year.","Shade cloth or row cover over the crop in early summer, which deters the leafhopper, is the only measure with real effect. Plant densely so the leafhopper is less attracted to bare soil between plants. Control host weeds in the surroundings. Some pepper and bean varieties carry tolerance.","Remove infected plants -- more for tidiness than for control, since the vector is not resident. Shade and dense planting for the rest of the season.","Insecticides do not help: the leafhopper transmits it in a feed shorter than any spray can prevent, and it does not colonise the crop.",None of practical use.,0,"Shade cloth or row cover in early summer, dense planting, tolerant varieties; pull affected plants -- nothing treats the virus."
spotted_wilt,Tomato spotted wilt virus,Tomato spotted wilt orthotospovirus,TSWV,disease,Tomato;Pepper;Lettuce;Bean;Eggplant;Basil,fatal,"A virus that only thrips can transmit, and only if they acquired it as larvae. It has an enormous host range including many ornamentals and weeds, which is where it usually comes from.","Bronzing and dark spots on young leaves, with the growing tip often dying back. Distinctive ringspots and concentric yellow or orange rings on the fruit as it ripens. Marked one-sided stunting.",The plant is finished; fruit already set is spotted and unusable. Removal is the only action.,"The fruit ringspots are close to unique. Early leaf bronzing looks like spider mite damage, but there is no webbing and no mites.",Watch for bronzed growing tips from early summer. Sticky cards for thrips give the earlier warning.,"Resistant tomato and pepper varieties, carrying the Sw-5 gene, are the effective answer where the virus is common. Thrips control on young plants. Remove weedy hosts and any infected ornamental. Reflective mulch delays thrips arrival.",Pull and bag infected plants the day you are confident. Thrips control with spinosad at dusk on the remainder. Reflective mulch.,"Nothing treats the virus. Insecticides against thrips only reduce further spread, and imperfectly.","Minute pirate bugs and predatory mites, against the thrips.",0,"Resistant varieties, thrips control and reflective mulch; pull infected plants at once -- there is no cure."
yellow_leaf_curl,Tomato yellow leaf curl virus,Tomato yellow leaf curl virus,TYLCV,disease,Tomato;Pepper;Bean,fatal,"A whitefly-transmitted virus, spreading north through the warmer states. A whitefly that has fed on an infected plant carries it for the rest of its life.","Severe upward cupping and curling of leaves with yellow margins, marked stunting with very short internodes so the plant looks bunched, and flowers that drop without setting fruit.",A plant infected young sets nothing at all. There is no treatment.,"Herbicide drift, particularly from growth-regulator herbicides, curls and cups leaves similarly -- but affects everything nearby rather than scattered plants, and does not stunt the internodes the same way. Physiological leaf roll is smooth, thick and green and does not yellow.",Whitefly monitoring with yellow sticky cards is the useful early signal. Check transplants before planting.,"Resistant varieties, now widely sold where the virus is present, are the answer. Whitefly exclusion with fine mesh on young plants. Remove infected plants promptly, bagging them rather than shaking the whiteflies off. Do not plant near an old infected crop.",Bag the whole plant before pulling it so the whiteflies go with it. Whitefly control with soap and oil. Reflective mulch.,Nothing treats the virus; whitefly control only slows the spread.,Encarsia wasps and other whitefly parasitoids.,0,Resistant varieties and whitefly exclusion; bag infected plants before pulling them.
rust_bean,Rust,Uromyces appendiculatus; Puccinia spp.,,disease,Bean;Southern pea;Onion;Garlic;Sweet corn;Asparagus,manageable,"Fungi that produce powdery pustules of orange or brown spores on the leaf surface, favoured by long dew periods and moderate temperatures. Each host has its own rust and they do not cross over.","Small raised rusty-orange pustules, mostly on leaf undersides, that rub off onto a finger. Later they darken to brown or black. Leaves yellow and drop.",Leaf loss late in the season that cuts the last of the crop. Rarely fatal but a heavy attack on beans ends the picking early.,Nothing else leaves orange powder on a finger. Do not confuse with the harmless orange spots of some leaf-mining flies.,"Check leaf undersides weekly from midsummer, especially in a spell of heavy dew.","Resistant varieties. Wide spacing and morning watering at the base so leaves dry quickly. Rotate. Remove and destroy crop residue, and on garlic and onion do not leave volunteers standing.","Remove affected leaves early. Sulfur applied at first sign is genuinely effective on rust, subject to the heat and oil warnings. Copper is less effective here than on the bacterial diseases.","Sulfur, and myclobutanil among the synthetics. Never apply sulfur above about 30C or within two weeks of an oil spray.",None of practical use.,0,"Resistant varieties, airflow and base watering; sulfur at the first pustules, not in heat."
